"","ReleaseDate","Title","ProductionBudget","OpeningWeekend","DomesticBox Office","WorldwideBox Office","Trailer","Genre","Running_Time","Keywords","Franchise"
"1","Jun, 2020","The Flash: Flashpoint","","","","","","Action",NA,"D.C. Comics","DC Extended Universe"
"2","May 22, 2020","Godzilla Vs. Kong","","","","","","Action",NA,NA,"GodzillaKing KongMonsterVerse"
"3","May 15, 2020","S.C.O.O.B.","","","","","","Adventure",NA,NA,"Scooby-Doo"
"4","Feb, 2020","Suicide Squad 2","","","","","","Action",NA,NA,"DC Extended Universe"
"5","May 31, 2019","Godzilla: King of the Monsters","","","","","","Action",NA,"Creature Features, Kaiju","GodzillaMonsterVerse"
"6","May 24, 2019","Minecraft","","","","","","Action",NA,NA,NA
"7","Dec 31, 2018","Acusada","","","","$1,433,359","","Thriller/Suspense","113 minutes",NA,NA
"8","Dec 21, 2018","Aquaman","$160,000,000","","","","Play","Action",NA,"3-D, D.C. Comics, Underwater, Dysfunctional Family, Sibling Rivalry, Treasure Hunters","DC Extended Universe"
"9","Dec 14, 2018","The Mule","","","","","","Action",NA,NA,NA
"10","Nov 21, 2018","Creed II","","","","","Play","Drama","128 minutes","Boxing, Screenplay Written By the Star, Father's Footsteps","Rocky"
"11","Nov 16, 2018","Fantastic Beasts: The Crime…","","$62,200,000","$62,200,000","$253,200,000","Play","Adventure","134 minutes","New York City, London, Ensemble, 1920s, Secret Magic, Good vs. Evil, Romance, Faulty Memory, Forbidden Romance, Prequel","Harry PotterFantastic Beasts and Where to Find Them"
"12","Oct 5, 2018","A Star is Born","$36,000,000","$45,608,088","$185,840,907","$340,740,907","Play","Drama","140 minutes","Remake, Singers, Film Actor, Addiction, Big Break, Movie Business, Music Industry, Musicians, Actors Making Their Directorial Debut, Directing Yourself, Screenplay Written By the Star",NA
"13","Sep 28, 2018","Smallfoot","$80,000,000","$23,045,635","$81,390,168","$204,969,871","Play","Adventure","96 minutes","Bigfoot, Mountain Climbing, Humans as Monsters, Falsely Accused",NA
"14","Aug 15, 2018","Crazy Rich Asians","$30,000,000","$26,510,140","$173,604,544","$236,003,507","Play","Romantic Comedy","120 minutes","Singapore, Asian-Americans, Romance, You Can't Go Home Again, Dysfunctional Family, Cross-Class Romance, Culture Clash",NA
"15","Aug 10, 2018","The Meg","$150,000,000","$45,402,195","$143,005,856","$527,170,888","Play","Action","113 minutes","Animals Gone Bad, Underwater, Exes in Love, Rescue, Dishonorable Discharge, Redemption",NA
"16","Spring, 2018","Justice League vs. The Fata…","","","","","","Adventure",NA,"Direct-to-Video","DC Extended Universe"
"17","Jun 8, 2018","Ocean’s 8","$70,000,000","$41,607,378","$139,377,762","$296,277,762","Play","Action","110 minutes","Heist, Life on the Outside, Fashion, Delayed Sequel, Genderbending Casting, New York City, Confidence Men","Ocean's Eleven"
"18","Mar 29, 2018","Ready Player One","$150,000,000","$41,769,050","$137,018,455","$578,621,729","Play","Adventure","140 minutes","Near Future, Virtual Reality, Video Game, Environment, Government Corruption, Poverty, Treasure Hunters",NA
"19","Mar 16, 2018","Tomb Raider","$90,000,000","$23,633,317","$57,421,715","$272,648,985","Play","Action","118 minutes","Non-Chronological, Archaeology, Marooned, Genocide, Secret Societies, 3-D, Missing Person, Presumed Dead, Inheritance",NA
